sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
56,AMIT JASANI FINANCIAL SERVICES PVT. LTD.,INZ000280133,11072,1655,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1655&h_MemType=members&memName=AMIT%20JASANI%20FINANCIAL%20SERVICES%20PVT.%20LTD.
57,PUMARTH CREDIT & CAPITAL LTD.,INZ000290936,07829,888,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=888&h_MemType=members&memName=PUMARTH%20CREDIT%20%26%20CAPITAL%20LTD.
58,MBL & COMPANY LTD.,INZ000289536,10047,1887,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1887&h_MemType=members&memName=MBL%20%26%20COMPANY%20LTD.
59,VOLTAIRE SECURITIES PRIVATE LIMITED,INZ000290830,90180,3056,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3056&h_MemType=members&memName=VOLTAIRE%20SECURITIES%20PRIVATE%20LIMITED
60,GOPALJI BROKING PRIVATE LIMITED,INZ000298037,90388,3260,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3260&h_MemType=members&memName=GOPALJI%20BROKING%20PRIVATE%20LIMITED
61,RELIABLE STOCKS & SHARES (INDIA) LTD.,INZ000290639,07544,928,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=928&h_MemType=members&memName=RELIABLE%20STOCKS%20%26%20SHARES%20%28INDIA%29%20LTD.
62,LOTUS  CAPITAL,INZ000291411,90193,3070,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3070&h_MemType=members&memName=LOTUS%20%20CAPITAL
63,A.N. SECURITIES,INZ000292027,14282,2539,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2539&h_MemType=members&memName=A.N.%20SECURITIES
64,SVCM SECURITIES PRIVATE LIMITED,INZ000293732,90216,3093,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3093&h_MemType=members&memName=SVCM%20SECURITIES%20PRIVATE%20LIMITED
65,V. C. MEHTA,INZ000219324,90190,3067,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3067&h_MemType=members&memName=V.%20C.%20MEHTA
