sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
57,AIKYAM CAPITAL PRIVATE LIMITED,INZ000321232,90419,3290,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3290&h_MemType=members&memName=AIKYAM%20CAPITAL%20PRIVATE%20LIMITED
58,AIONION CAPITAL MARKET SERVICES PRIVATE LIMITED,INZ000318532,90405,3276,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3276&h_MemType=members&memName=AIONION%20CAPITAL%20MARKET%20SERVICES%20PRIVATE%20LIMITED
59,AIRAN FINSTOCKS PRIVATE LIMITED,INZ000214031,13233,2277,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2277&h_MemType=members&memName=AIRAN%20FINSTOCKS%20PRIVATE%20LIMITED
60,AIWIN INVESTMENT MONEY,INZ000036426,90082,2959,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2959&h_MemType=members&memName=AIWIN%20INVESTMENT%20MONEY
61,AJCON GLOBAL SERVICES LIMITED,INZ000173933,6376,310,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=310&h_MemType=members&memName=AJCON%20GLOBAL%20SERVICES%20LIMITED
62,AJIT S SIAL,INB230079610,796,629,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=629&h_MemType=members&memName=AJIT%20S%20SIAL
63,AJMERA ASSOCIATES LTD.,INZ000177531,11858,1991,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1991&h_MemType=members&memName=AJMERA%20ASSOCIATES%20LTD.
64,AKI FINANCE & SECURITIES (P) LTD,INB230855437/INF230855437,8554,631,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=631&h_MemType=members&memName=AKI%20FINANCE%20%26%20SECURITIES%20%28P%29%20LTD
65,ALACRITY SECURITIES LTD.,INZ000215936,9098,1086,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1086&h_MemType=members&memName=ALACRITY%20SECURITIES%20LTD.
66,ALANKIT IMAGINATIONS LIMITED,INZ000028539,8812,633,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=633&h_MemType=members&memName=ALANKIT%20IMAGINATIONS%20LIMITED
67,ALB STOCK BROKING PRIVATE LIMITED,INZ000257335,13599,2450,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2450&h_MemType=members&memName=ALB%20STOCK%20BROKING%20PRIVATE%20LIMITED
68,ALDAN INVESTMENTS PRIVATE LIMITED,INZ000279438,12599,1998,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1998&h_MemType=members&memName=ALDAN%20INVESTMENTS%20PRIVATE%20LIMITED
69,ALGOQUANT FINTECH LIMITED,INZ000326631,90234,3111,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3111&h_MemType=members&memName=ALGOQUANT%20FINTECH%20LIMITED
70,ALICE BLUE FIN SVCS P LTD,INZ000156038,90112,2988,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2988&h_MemType=members&memName=ALICE%20BLUE%20FIN%20SVCS%20P%20LTD
71,ALLEGRO CAPITAL ADVISORS PRIVATE LIMITED,INZ000255731,12997,2165,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2165&h_MemType=members&memName=ALLEGRO%20CAPITAL%20ADVISORS%20PRIVATE%20LIMITED
72,ALLIED FINANCIAL SERVICES PVT LTD,INZ000164832,14331,634,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=634&h_MemType=members&memName=ALLIED%20FINANCIAL%20SERVICES%20PVT%20LTD
